URL,Failed Requests,50%,66%,75%,80%,90%,95%,98%,99%,100%,Bottleneck Length,Average Memory Usage (MB),Average Network Usage (MBps)
"/tasks/executions?action=['charge', 'require']&completed=True&name=could&days=61890",0,,,,,,,,,,,72.8,12.530977990798775
"/tasks/executions/['marriage', 'value', 'represent', 'somebody']?platform=road&schemaTarget=month",0,,,,,,,,,,,72.7,562880.9751559263
"/tasks/executions/['staff', 'himself', 'hear', 'true', 'mission']?action=['movement', 'join', 'fire']&schemaTarget=through",0,,,,,,,,,,,72.6,293557.8482019468
/apps?pageable=for&pagedResourcesAssembler=here&uri=magazine&apps=ever&force=False,0,16,19,21,23,28,33,41,54,1111,0.0,73.69090909090909,12.467596838838817
/streams/definitions?name=financial&definition=girl&description=citizen&deploy=False,0,17,21,23,25,32,39,51,63,1129,0.0,73.69574468085106,627.3906369775287
/apps/hold/car/state,0,18,22,24,26,33,42,55,79,3156,0.0,73.6938144329897,1796.0709227356326
/jobs/executions/30225?schemaTarget=measure,0,17,21,24,26,32,40,56,79,3173,0.0,73.696,1747.6401168664838
/apps/leave/night?exhaustive=False,0,18,21,24,26,33,41,54,97,1120,0.0,73.70048780487805,12.380097477606492
/tasks/definitions?name=kid&definition=a&description=nearly,0,18,21,24,26,33,41,56,107,1110,0.0,73.69951219512195,1141.016266030579
/apps/hair/administration/him?exhaustive=True,0,18,21,24,26,33,41,55,79,3159,0.0,73.69271844660194,2274.105474394452
/apps/camera/field/improve?bootVersion=world&uri=why&metadata-uri=rich&force=False,0,18,21,24,26,33,42,54,87,3160,0.0,73.69611650485437,2274.482563278365
/tools/convertTaskGraphToText,0,18,22,25,27,33,41,54,79,3159,0.0,73.69463414634146,2275.4453166973717
/tools/parseTaskTextToGraph,0,18,22,25,27,34,42,56,79,3173,0.0,73.69611650485437,2273.388095000268
/apps/health/visit/entire,0,18,22,24,26,34,42,57,108,3170,0.0,73.69857142857143,2223.5792640173813
/runtime/apps/pretty/instances/tend/post,0,18,21,24,26,33,42,56,112,3154,0.0,73.70094339622642,571.206222546931
/tasks/executions/57422?schemaTarget=position,0,18,22,25,27,34,42,56,112,3157,0.0,73.69906542056074,2188.930556851981
/runtime/apps/him/instances/reality/actuator?endpoint=town,0,27,35,40,43,54,65,87,121,3198,0.0,73.74214285714285,433.59841658081723
/runtime/apps/contain/instances/affect/actuator,0,28,36,40,44,53,66,88,124,1129,0.0,73.7450704225352,428.34082685502057
/apps/show/rest?bootVersion=share&uri=chance&metadata-uri=yes&force=True,0,41,47,50,53,60,67,78,84,1108,0.0,73.9076388888889,421.1181175528104
/apps/four/strategy,0,43,48,52,54,61,69,80,85,1085,0.0,73.9186046511628,404.10098495253914
/tasks/executions/current,0,44,50,53,55,62,69,78,84,134,0.0,73.93627760252366,11.23165375413962
/tasks/platforms?pageable=long&schedulesEnabled=challenge&assembler=indeed,0,46,51,54,56,63,71,80,85,137,0.0,73.9398773006135,11.17150849800743
/streams/definitions?pageable=forward&search=wide&assembler=production,0,149,172,207,243,318,408,550,673,3432,0.0,73.77631806395851,310.550809602613
/streams/definitions,0,148,173,218,250,331,410,535,644,1381,0.0,73.7735800344234,309.205027397455
/tasks/executions/launch?name=never&properties=see&arguments=him,0,150,176,218,251,321,405,535,628,1245,0.0,73.76946107784431,405.7820048788911
/streams/deployments/win,0,151,173,218,251,331,419,531,638,1604,0.0,73.76615646258503,305.511468775209
/tasks/definitions,0,154,176,226,252,325,403,530,641,1432,0.0,73.75701091519731,301.57699785327895
/streams/deployments/edge?reuse-deployment-properties=False,0,152,177,223,254,329,420,538,673,1472,0.0,73.75418060200668,300.58906648008946
"/runtime/streams?names=['maybe', 'situation', 'pass', 'owner']&pageable=movie&assembler=law",0,,,,,,,,,,,73.1,6.296569235762424
"/runtime/streams/['gas', 'board']?pageable=themselves&assembler=approach",0,,,,,,,,,,,73.1,4.926326041546525
/tasks/executions?name=wife&properties=wish&arguments=rate,0,153,179,221,255,334,417,550,685,1355,0.0,73.75,394.26414216243245
/tasks/definitions?pageable=floor&search=president&taskName=possible&description=pretty&manifest=False&dslText=feel&assembler=money,0,155,179,228,254,327,407,524,648,1449,0.0,73.74904564315354,298.24364009894447
/streams/deployments/future,0,154,178,224,253,333,421,549,672,1510,0.0,73.74677685950414,297.1055582713218
/streams/deployments/update/us,0,154,178,227,254,332,423,533,664,1293,0.0,73.74514003294894,296.19008303033235
/streams/deployments/rollback/play/40762,3801,168,194,233,266,345,428,549,662,1380,0.0,73.71201848998459,99.5668564676593
/tasks/info/executions?completed=hold&name=course&days=58343,0,151,174,227,258,343,428,531,625,1494,0.0,73.68882252559727,8.051223448003569
/streams/deployments/scale/sense/mention/instances/52826,3070,173,201,253,280,363,452,581,680,1356,0.0,73.6882225433526,260.7665042867541
