URL,Success,50%,66%,75%,80%,90%,95%,98%,99%,100%,Bottleneck Length,Average Memory Usage (MB),Average Network Usage (MBps)
/jobs/executions/16526?schemaTarget=seek,0,3,3,4,4,5,7,9,10,14,3.146,69.28333333333333,12.598590684686622
/apps/whom/little/sign?exhaustive=True,0,3,4,4,5,6,8,9,10,17,3.57,69.4,10.442996048207544
/apps/region/however/few,0,2,3,3,3,4,5,5,6,13,2.681,69.49,14.437095621193953
/apps/just/learn/office?bootVersion=deal&uri=site&metadata-uri=single&force=True,0,3,4,4,5,6,8,9,9,14,3.544,69.49230769230769,11.117776118892523
/apps/why/cost/specific,0,2,3,3,3,4,5,6,7,10,2.726,69.5,13.449688221697548
/tools/parseTaskTextToGraph,0,3,4,5,5,7,8,9,11,19,4.078,69.54666666666667,8.831730751654069
/tools/convertTaskGraphToText,0,3,3,4,4,6,7,8,9,17,3.386,69.74166666666666,10.874937454528292
/tasks/executions?pageable=eight&assembler=civil&name=choice,0,3,3,4,4,5,8,9,9,15,3.372,69.86666666666667,10.345824069858843
/tasks/executions?name=people&properties=star&arguments=include,0,6,6,7,7,8,10,12,14,38,6.113,69.96818181818182,5.999190086373026
"/tasks/executions?action=['final', 'agent']&completed=True&name=safe&days=6732",0,,,,,,,,,,,69.9,0.0
/tasks/executions/49334?schemaTarget=place,0,3,4,5,5,7,8,10,12,27,4.073,69.92000000000002,8.45364178619115
"/tasks/executions/['figure', 'within', 'worker', 'its']?platform=manage&schemaTarget=inside",0,,,,,,,,,,,70.0,0.0
"/tasks/executions/['example', 'data', 'base', 'compare', 'beautiful']?action=['special', 'prevent', 'skin', 'agreement', 'simple']&schemaTarget=employee",0,,,,,,,,,,,70.0,0.0
/tasks/executions/launch?name=town&properties=care&arguments=skill,0,5,6,6,6,8,9,10,12,23,5.258,70.0,6.988401208658616
/tasks/definitions?pageable=increase&search=million&taskName=high&description=wall&manifest=True&dslText=need&assembler=seat,0,3,4,4,5,6,7,9,9,13,3.806,69.99285714285715,9.252526381171702
/tasks/definitions?name=he&definition=culture&description=network,0,3,3,4,4,5,6,8,9,11,3.142,70.02499999999999,12.236275213821898
/tasks/definitions,0,3,3,3,4,4,6,8,9,14,3.127,70.01818181818182,10.815703076035458
/streams/deployments/whom?reuse-deployment-properties=False,0,3,3,4,4,5,7,9,10,15,3.434,70.0,10.40820655655209
/streams/deployments/phone,0,3,3,3,4,4,5,6,6,10,2.992,70.0,12.212635843006826
/streams/deployments/get,0,3,4,4,4,5,6,8,9,13,3.393,70.0,10.139883235357463
/streams/deployments/update/security,0,3,4,4,4,5,7,9,9,15,3.559,70.03076923076922,10.421078549082093
/streams/deployments/scale/hair/book/instances/56693,3536,27,29,30,31,37,46,52,58,144,28.528,69.922,1.2955803493462283
/streams/deployments/rollback/close/21447,3516,33,35,37,38,40,44,50,56,119,33.284,69.97179487179487,1.0985470936845314
/streams/definitions?pageable=recently&search=audience&assembler=wife,0,3,4,4,5,5,7,8,10,13,3.744,70.19285714285715,9.431212351479058
/streams/definitions?name=ago&definition=never&description=approach&deploy=False,0,3,4,4,5,6,7,9,10,18,3.777,70.18571428571428,10.227971472118801
/streams/definitions,0,4,4,4,5,6,7,8,9,22,3.888,70.2,8.74250189265004
/runtime/apps/girl/instances/stand/post,0,4,5,5,6,7,8,9,10,16,4.312,70.2,11.80242910908048
/runtime/apps/may/instances/nation/actuator?endpoint=mind,0,6,7,8,8,10,13,15,17,33,6.456,70.2,5.452234013385746
/runtime/apps/experience/instances/give/actuator,0,6,7,8,9,11,13,16,18,34,6.57,70.28695652173913,5.656818699889081
/apps?pageable=with&pagedResourcesAssembler=ball&type=couple&search=here&version=chance&defaultVersion=True,0,60,64,67,69,75,81,89,95,128,61.491,70.40279069767442,4.130000262775917
/apps?pageable=free&pagedResourcesAssembler=nice&uri=magazine&apps=success&force=False,0,3,4,4,5,6,7,8,9,18,3.75,70.55,9.583074204685488
/apps,0,58,61,64,66,71,76,83,89,120,58.834,70.56359223300971,4.271216952509158
/apps/Republican/less?exhaustive=True,0,4,4,5,5,7,8,9,9,14,4.083,70.64,9.122871110377092
/apps/agree/family?bootVersion=recent&uri=as&metadata-uri=boy&force=True,0,4,4,5,6,7,8,9,9,13,4.173,70.6,9.418513732019544
/apps/away/idea,0,3,4,4,4,5,6,7,9,14,3.42,70.6,10.636104367203401
/tasks/validation/realize,0,4,4,5,5,6,8,9,10,16,4.032,70.64,8.543701219530632
/tasks/thinexecutions?pageable=not&pagedAssembler=feel&name=ask,0,3,4,4,4,5,5,7,8,12,3.409,70.7,10.223016535615539
/tasks/platforms?pageable=dream&schedulesEnabled=beautiful&assembler=month,0,4,4,5,5,7,8,9,10,28,4.196,70.7,104.057016118788
/tasks/logs/small?platformName=popular&schemaTarget=specific,0,4,5,6,6,8,9,10,12,18,4.805,70.74117647058823,6.598208638593541
/tasks/info/executions?completed=property&name=within&days=58709,0,3,4,4,5,7,8,9,9,18,3.83,70.81428571428572,8.575906481365623
/tasks/executions/external/cultural?platform=month,0,4,4,5,5,6,7,8,9,20,4.023,70.80666666666666,8.927338642748076
/tasks/executions/current,0,3,3,3,3,4,5,8,8,17,2.868,70.82727272727273,11.020105827586573
/tasks/definitions/father?manifest=False,0,4,4,5,5,6,8,9,10,21,4.03,70.89333333333335,8.680646935353527
